Sample,0-3 hrs,10-11 hrs,11-12 hrs,3-5 hrs,5-6 hrs,6-7 hrs,6-9 hrs,7-8 hrs,8-9 hrs,9-10 hrs
A,0.1030479854972554,0.026993074517880716,0.0436087828664975,0.06813853046774329,0.07628852373644551,0.04776216158426888,0.03042888401950843,0.040901550976787715,0.002622939497468696,0.015018624418448284
B,0.08941744665414013,0.05039928341895941,0.04842139001298609,0.08066401957776045,0.06703109177119448,0.048259262053736096,0.03523968470931833,0.032680853221002615,0.024778938853216276,0.039169290280051505
C,0.10333186044470599,0.04898408400944561,0.051371771908888496,0.07148886905358928,0.07933477447695253,0.052241895168014696,0.055874429001460564,0.06586536620432529,0.049516025632041716,0.06009393324352959
D,0.09121392201860072,0.034686434342631106,0.04145975786617248,0.0855474266722705,0.06608630537773102,0.04973796845872991,0.029766393139838893,0.03370829749432369,0.005852913466463078,0.014301681863724519
E,0.09130648860759032,0.0470743695273665,0.050280828553989604,0.08395658875426501,0.0704407034093229,0.059535134645908594,0.06028525363748664,0.06003443350641621,0.06128619276013511,0.06217332786025369
